algorithm_no,algorithm,family,notion_legacy_implementation_status,notion_architecture_status,notion_legacy_existing_files,notion_scientific_validation,src000_movefuel2_status,src001_movefule1_status,src001_present_paths,src001_missing_paths,src002_older_zip_status,src003_additional_status,src004_g_latest_status,final_disposition,canonical_path,notes
1,Age & Eligibility Policy Algorithm,Profile + Targets,Implemented,Planned,services/backend/src/foundation/target-eligibility-policy.ts; services/backend/src/foundation/target-engine.ts; services/backend/src/foundation/profile.ts,Not applicable,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/foundation/target-eligibility-policy.ts; services/backend/src/foundation/target-engine.ts; services/backend/src/foundation/profile.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
2,Profile Completeness / Unknown Gate,Profile + Targets,Implemented,Planned,services/backend/src/foundation/target-eligibility-policy.ts; services/backend/src/foundation/target-engine.ts; services/backend/src/diet-intelligence/profile-policy.ts,Not applicable,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/foundation/target-eligibility-policy.ts; services/backend/src/foundation/target-engine.ts; services/backend/src/diet-intelligence/profile-policy.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
3,Unit Normalization Algorithm,Profile + Targets,Implemented,Planned,services/backend/src/foundation/profile.ts; services/backend/src/foundation/target-engine.ts,Not applicable,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/foundation/profile.ts; services/backend/src/foundation/target-engine.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
4,Activity Normalization Algorithm,Profile + Targets,Implemented,Planned,services/backend/src/foundation/target-engine.ts; services/backend/src/foundation/profile.ts,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/foundation/target-engine.ts; services/backend/src/foundation/profile.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
5,Energy Target Estimator,Profile + Targets,Implemented,Planned,services/backend/src/foundation/target-engine.ts; services/backend/src/foundation/target-eligibility-policy.ts; services/backend/src/foundation/profile.ts,Partially validated,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/foundation/target-engine.ts; services/backend/src/foundation/target-eligibility-policy.ts; services/backend/src/foundation/profile.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
6,Protein Target Estimator,Profile + Targets,Implemented,Planned,services/backend/src/foundation/target-engine.ts,Partially validated,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/foundation/target-engine.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
7,Carbohydrate Target Allocator,Profile + Targets,Implemented,Planned,services/backend/src/foundation/target-engine.ts,Partially validated,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/foundation/target-engine.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
8,Fat Target Allocator,Profile + Targets,Implemented,Planned,services/backend/src/foundation/target-engine.ts,Partially validated,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/foundation/target-engine.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
9,Fiber Target Estimator,Profile + Targets,Implemented,Planned,services/backend/src/foundation/target-engine.ts,Partially validated,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/foundation/target-engine.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
10,Different-Target-by-Day Scheduler,Profile + Targets,Planned only,Planned,Current target engine/profile persistence provide one effective canonical target revision; no weekday/day-context target scheduler was evidenced in the inspected target implementation.,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
