"screen_id","family","title","current_functional_controls","current_status","planned_controls","input_controls","output_controls","sensor_dependencies","permission_gates","data_reads","data_writes","algorithm_ai_dependencies","required_states","planned_click_results","conflicts","priority","implementation_plan"
"AUTH_001","AUTH","Secure Restore","WIRED: Continue -> next registry route; Back -> previous registry route","PARTIAL_PROTOTYPE","Retry restore | Sign in instead","","account/session status","","","account;session","account;session","auth/session restore","default","Retry restore => rerun secure session restore | Sign in instead => open Sign In","CURRENT: generic Continue/Back wiring is registry-sequential, not product-semantic | CURRENT: internal cards/fields/options are mostly presentation-only until callbacks/state are added","P0","Replace sequential scaffold routing with typed screen actions/ViewModel state; convert visual controls to real Compose inputs/click targets; add repository/use-case calls; add loading/error/offline/idempotency tests."
"AUTH_002","AUTH","Sign In","WIRED: Continue -> next registry route; Back -> previous registry route","PARTIAL_PROTOTYPE","Sign in | Forgot password | Create account","email | password","account/session status","","","account;session","account;session","auth/session restore","default","Sign in => validate credentials then open onboarding or Today | Forgot password => open Forgot Password | Create account => open Create Account","CURRENT: generic Continue/Back wiring is registry-sequential, not product-semantic | CURRENT: internal cards/fields/options are mostly presentation-only until callbacks/state are added","P0","Replace sequential scaffold routing with typed screen actions/ViewModel state; convert visual controls to real Compose inputs/click targets; add repository/use-case calls; add loading/error/offline/idempotency tests."
"AUTH_003","AUTH","Create Account","WIRED: Continue -> next registry route; Back -> previous registry route","PARTIAL_PROTOTYPE","Create account | Sign in | Terms | Privacy","email | password | display name | terms/privacy acceptance","account/session status","","","account;session","account;session","auth/session restore","default","Create account => create account then Verify Email | Sign in => open Sign In | Terms => open Terms | Privacy => open Privacy","CURRENT: generic Continue/Back wiring is registry-sequential, not product-semantic | CURRENT: internal cards/fields/options are mostly presentation-only until callbacks/state are added","P0","Replace sequential scaffold routing with typed screen actions/ViewModel state; convert visual controls to real Compose inputs/click targets; add repository/use-case calls; add loading/error/offline/idempotency tests."
"AUTH_004","AUTH","Verify Email","WIRED: Continue -> next registry route; Back -> previous registry route","PARTIAL_PROTOTYPE","I've verified | Resend","","account/session status","","","account;session","account;session","auth/session restore","default","I've verified => refresh verification then continue | Resend => request new verification email","CURRENT: generic Continue/Back wiring is registry-sequential, not product-semantic | CURRENT: internal cards/fields/options are mostly presentation-only until callbacks/state are added","P0","Replace sequential scaffold routing with typed screen actions/ViewModel state; convert visual controls to real Compose inputs/click targets; add repository/use-case calls; add loading/error/offline/idempotency tests."
"AUTH_005","AUTH","Resend Verification","WIRED: Continue -> next registry route; Back -> previous registry route","PARTIAL_PROTOTYPE","Resend verification","","account/session status","","","account;session","account;session","auth/session restore","default","Resend verification => request email","CURRENT: generic Continue/Back wiring is registry-sequential, not product-semantic | CURRENT: internal cards/fields/options are mostly presentation-only until callbacks/state are added","P0","Replace sequential scaffold routing with typed screen actions/ViewModel state; convert visual controls to real Compose inputs/click targets; add repository/use-case calls; add loading/error/offline/idempotency tests."
"AUTH_006","AUTH","Verification Success","WIRED: Continue -> next registry route; Back -> previous registry route","PARTIAL_PROTOTYPE","Continue","","account/session status","","","account;session","account;session","auth/session restore","default","Continue => open onboarding/Today","CURRENT: generic Continue/Back wiring is registry-sequential, not product-semantic | CURRENT: internal cards/fields/options are mostly presentation-only until callbacks/state are added","P0","Replace sequential scaffold routing with typed screen actions/ViewModel state; convert visual controls to real Compose inputs/click targets; add repository/use-case calls; add loading/error/offline/idempotency tests."
"AUTH_007","AUTH","Verification Expired","WIRED: Continue -> next registry route; Back -> previous registry route","PARTIAL_PROTOTYPE","Resend link","","account/session status | recovery/error state","","","account;session","account;session","auth/session restore","default | error/retry","Resend link => create fresh verification/reset request","CURRENT: generic Continue/Back wiring is registry-sequential, not product-semantic | CURRENT: internal cards/fields/options are mostly presentation-only until callbacks/state are added","P0","Replace sequential scaffold routing with typed screen actions/ViewModel state; convert visual controls to real Compose inputs/click targets; add repository/use-case calls; add loading/error/offline/idempotency tests."
"AUTH_008","AUTH","Forgot Password","WIRED: Continue -> next registry route; Back -> previous registry route","PARTIAL_PROTOTYPE","Send reset link","email","account/session status","","","account;session","account;session","auth/session restore","default","Send reset link => request password reset","CURRENT: generic Continue/Back wiring is registry-sequential, not product-semantic | CURRENT: internal cards/fields/options are mostly presentation-only until callbacks/state are added","P0","Replace sequential scaffold routing with typed screen actions/ViewModel state; convert visual controls to real Compose inputs/click targets; add repository/use-case calls; add loading/error/offline/idempotency tests."
"AUTH_009","AUTH","Reset Password","WIRED: Continue -> next registry route; Back -> previous registry route","PARTIAL_PROTOTYPE","Save new password","new password | confirm password","account/session status","","","account;session","account;session","auth/session restore","default","Save new password => update password then success","CURRENT: generic Continue/Back wiring is registry-sequential, not product-semantic | CURRENT: internal cards/fields/options are mostly presentation-only until callbacks/state are added","P0","Replace sequential scaffold routing with typed screen actions/ViewModel state; convert visual controls to real Compose inputs/click targets; add repository/use-case calls; add loading/error/offline/idempotency tests."
"AUTH_010","AUTH","Password Reset Success","WIRED: Continue -> next registry route; Back -> previous registry route","PARTIAL_PROTOTYPE","Sign in","","account/session status","","","account;session","account;session","auth/session restore","default","Sign in => open Sign In","CURRENT: generic Continue/Back wiring is registry-sequential, not product-semantic | CURRENT: internal cards/fields/options are mostly presentation-only until callbacks/state are added","P0","Replace sequential scaffold routing with typed screen actions/ViewModel state; convert visual controls to real Compose inputs/click targets; add repository/use-case calls; add loading/error/offline/idempotency tests."
