"table","domain","owner_model","time_horizon","fact_evidence_class","algorithm_gate"
"catalog_release","Catalog, source & labels","Platform-owned","Immediate + intermediate","Source fact; provenance; review fact","Source and review required"
"source_provider","Catalog, source & labels","Platform-owned","Immediate + intermediate","Source fact; provenance; review fact","Source and review required"
"source_dataset","Catalog, source & labels","Platform-owned","Immediate + intermediate","Source fact; provenance; review fact","Source and review required"
"source_record","Catalog, source & labels","Platform-owned","Immediate + intermediate","Source fact; provenance; review fact","Source and review required"
"source_record_version","Catalog, source & labels","Platform-owned","Immediate + intermediate","Source fact; provenance; review fact","Source and review required"
"source_license","Catalog, source & labels","Platform-owned","Immediate + intermediate","Source fact; provenance; review fact","Source and review required"
"source_license_evidence","Catalog, source & labels","Platform-owned","Immediate + intermediate","Source fact; provenance; review fact","Source and review required"
"exercise","Catalog, source & labels","Platform-owned","Immediate + intermediate","Source fact; provenance; review fact","Source and review required"
"exercise_revision","Catalog, source & labels","Platform-owned","Immediate + intermediate","Source fact; provenance; review fact","Source and review required"
"exercise_alias","Catalog, source & labels","Platform-owned","Immediate + intermediate","Source fact; provenance; review fact","Source and review required"
"exercise_instruction","Catalog, source & labels","Platform-owned","Immediate + intermediate","Source fact; provenance; review fact","Source and review required"
"exercise_instruction_step","Catalog, source & labels","Platform-owned","Immediate + intermediate","Source fact; provenance; review fact","Source and review required"
"exercise_taxonomy_map","Catalog, source & labels","Platform-owned","Immediate + intermediate","Source fact; provenance; review fact","Source and review required"
"exercise_equipment_map","Catalog, source & labels","Platform-owned","Immediate + intermediate","Source fact; provenance; review fact","Source and review required"
"exercise_muscle_map","Catalog, source & labels","Platform-owned","Immediate + intermediate","Source fact; provenance; review fact","Source and review required"
"exercise_movement_map","Catalog, source & labels","Platform-owned","Immediate + intermediate","Source fact; provenance; review fact","Source and review required"
"exercise_environment_map","Catalog, source & labels","Platform-owned","Immediate + intermediate","Source fact; provenance; review fact","Source and review required"
"exercise_sport_map","Catalog, source & labels","Platform-owned","Immediate + intermediate","Source fact; provenance; review fact","Source and review required"
"exercise_relation","Catalog, source & labels","Platform-owned","Immediate + intermediate","Source fact; provenance; review fact","Source and review required"
"catalog_review_state","Catalog, source & labels","Platform-owned","Immediate + intermediate","Source fact; provenance; review fact","Source and review required"
"sport","All sports","Platform-owned","Intermediate","Licensed source fact; test-protocol evidence","Source and protocol review required"
