"family","screens","planned_action_rows","screens_with_user_input","screens_with_sensor_dependency","screens_with_permission_gate","P0_screens","P1_screens","P2_screens"
"AUTH","12","20","4","0","0","12","0","0"
"ONB","18","40","15","0","0","18","0","0"
"TOD","12","34","0","0","0","12","0","0"
"CAM","18","39","9","18","18","18","0","0"
"BAR","16","30","7","3","3","16","0","0"
"FNO","18","26","4","0","0","18","0","0"
"FPL","24","35","10","0","0","0","24","0"
"FSH","16","22","5","0","0","0","16","0"
"RCP","36","60","14","0","0","0","36","0"
"TRS","20","43","17","0","0","0","20","0"
"TRN","24","28","5","0","0","24","0","0"
"WRK","32","37","12","0","0","32","0","0"
"SOR","10","10","5","0","0","0","10","0"
"RDY","10","10","6","3","4","10","0","0"
"EXR","16","23","7","0","0","0","16","0"
"CAL","18","30","11","0","0","0","18","0"
"PRG","30","34","7","3","9","0","30","0"
"PRO","18","20","9","0","1","0","18","0"
"DEV","12","21","1","12","6","0","12","0"
"BIL","8","12","2","0","0","0","8","0"
"WAR","12","16","2","3","4","0","12","0"
"SYS","20","22","3","0","0","20","0","0"
