"table","domain","primary_key","column_count","source"
"analysis_attempt","ai_provider","attemptId","12","reviewed_77"
"analysis_event","ai_provider","eventId","7","reviewed_77"
"model_configuration","ai_provider","modelConfigId","11","reviewed_77"
"prompt_template","ai_provider","promptId","8","reviewed_77"
"prompt_version","ai_provider","promptVersionId","12","reviewed_77"
"provider_call","ai_provider","providerCallId","14","reviewed_77"
"entitlement","billing_usage","entitlementId","9","reviewed_77"
"purchase_event","billing_usage","purchaseEventId","11","reviewed_77"
"subscription","billing_usage","subscriptionId","13","reviewed_77"
"usage_ledger","billing_usage","usageId","11","reviewed_77"
"webhook_event","billing_usage","webhookEventId","10","reviewed_77"
"device","device_health_sync","deviceId","9","reviewed_77"
"device_command","device_health_sync","commandId","10","reviewed_77"
"device_session","device_health_sync","deviceSessionId","8","reviewed_77"
"health_connection","device_health_sync","connectionId","9","reviewed_77"
"health_import_cursor","device_health_sync","cursorId","7","reviewed_77"
"health_sample_summary","device_health_sync","summaryId","12","reviewed_77"
"idempotency_key","device_health_sync","keyId","9","reviewed_77"
"sync_cursor","device_health_sync","cursorId","7","reviewed_77"
"sync_operation","device_health_sync","operationId","12","reviewed_77"
"watch_delivery","device_health_sync","deliveryId","9","reviewed_77"
"watch_receipt","device_health_sync","receiptId","8","reviewed_77"
"audit_event","foundation_ops","auditId","11","reviewed_77"
"calendar_entry","foundation_ops","entryRowId","15","approved_addition"
"calendar_revision","foundation_ops","calendarRevisionId","10","approved_addition"
"content_report","foundation_ops","reportId","8","reviewed_77"
"data_retention_job","foundation_ops","retentionJobId","10","reviewed_77"
"deletion_job","foundation_ops","deletionJobId","8","reviewed_77"
"deletion_request","foundation_ops","deletionRequestId","9","reviewed_77"
"export_artifact","foundation_ops","artifactId","10","reviewed_77"
"export_job","foundation_ops","exportJobId","9","reviewed_77"
"feature_flag","foundation_ops","flagId","8","reviewed_77"
"schema_migrations","foundation_ops","migrationId","7","reviewed_77"
"serving_prior_observation","foundation_ops","observationId","17","approved_addition"
"support_ticket","foundation_ops","ticketId","9","reviewed_77"
"consent_record","identity_profile","consentId","9","reviewed_77"
"onboarding_progress","identity_profile","userId","7","reviewed_77"
"privacy_preference","identity_profile","userId","8","reviewed_77"
"target_revision","identity_profile","targetRevisionId","12","reviewed_77"
"user_goal","identity_profile","goalId","9","reviewed_77"
"user_identity","identity_profile","identityId","8","reviewed_77"
"user_preference","identity_profile","preferenceId","6","reviewed_77"
"user_profile","identity_profile","userId","16","reviewed_77"
"user_session_metadata","identity_profile","sessionMetaId","9","reviewed_77"
"notification","notifications","notificationId","11","reviewed_77"
"notification_delivery","notifications","deliveryId","9","reviewed_77"
"action_completion","nutrition","completionId","7","reviewed_77"
"daily_aggregate","nutrition","aggregateId","15","reviewed_77"
"daily_recommendation","nutrition","recommendationId","13","reviewed_77"
"daily_summary","nutrition","summaryId","8","reviewed_77"
"day_summary","nutrition","daySummaryId","10","reviewed_77"
"food_catalog_alias","nutrition","aliasId","6","reviewed_77"
"meal","nutrition","mealId","6","reviewed_77"
"meal_analysis_request","nutrition","requestId","9","reviewed_77"
"meal_draft","nutrition","draftId","7","reviewed_77"
"meal_draft_revision","nutrition","draftRevisionId","6","reviewed_77"
"meal_item","nutrition","mealItemId","8","reviewed_77"
"meal_item_revision","nutrition","itemRevisionId","6","reviewed_77"
"meal_media","nutrition","mediaId","14","reviewed_77"
"meal_revision","nutrition","mealRevisionId","6","reviewed_77"
"meal_tombstone","nutrition","tombstoneId","7","reviewed_77"
"nutrition_source_cache","nutrition","nutritionSourceId","10","reviewed_77"
"personal_food","nutrition","personalFoodId","15","reviewed_77"
"recommendation_evidence","nutrition","evidenceId","7","reviewed_77"
"saved_meal","nutrition","savedMealId","9","reviewed_77"
"saved_meal_item","nutrition","savedMealItemId","9","reviewed_77"
"wellness_checkin","nutrition","checkinId","10","reviewed_77"
"progress_insight","progress_reporting","insightId","11","reviewed_77"
"report","progress_reporting","reportId","9","reviewed_77"
"report_evidence","progress_reporting","reportEvidenceId","7","reviewed_77"
"report_section","progress_reporting","sectionId","8","reviewed_77"
"exercise_catalog","training","exerciseId","10","reviewed_77"
"exercise_muscle_map","training","mapId","6","reviewed_77"
"muscle_load","training","muscleLoadId","7","reviewed_77"
"workout_event","training","eventId","9","reviewed_77"
"workout_plan","training","planId","9","reviewed_77"
"workout_plan_revision","training","planRevisionId","7","reviewed_77"
"workout_plan_step","training","stepId","11","reviewed_77"
"workout_session","training","sessionId","11","reviewed_77"
"workout_session_revision","training","sessionRevisionId","14","approved_addition"
"workout_summary","training","summaryId","12","reviewed_77"
