"screen_id","screen_title","control","control_type","current_implementation","expected_on_click","confirmation_required","permission_gate","data_effect","priority","implementation_note"
"AUTH_001","Secure Restore","Continue","current primary button","WIRED_BUT_WRONG_SEMANTICS","navigate to next registry route","no","none","navigation only","P0","replace with semantic primary action"
"AUTH_001","Secure Restore","Back","current text button","WIRED_BUT_WRONG_SEMANTICS","navigate to previous registry route","no","none","navigation only","P0","replace with parent/back-stack/cancel behavior"
"AUTH_001","Secure Restore","Retry restore","button","PLANNED_REQUIRED","rerun secure session restore","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"AUTH_001","Secure Restore","Sign in instead","text","PLANNED_REQUIRED","open Sign In","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"AUTH_002","Sign In","Continue","current primary button","WIRED_BUT_WRONG_SEMANTICS","navigate to next registry route","no","none","navigation only","P0","replace with semantic primary action"
"AUTH_002","Sign In","Back","current text button","WIRED_BUT_WRONG_SEMANTICS","navigate to previous registry route","no","none","navigation only","P0","replace with parent/back-stack/cancel behavior"
"AUTH_002","Sign In","Sign in","primary","PLANNED_REQUIRED","validate credentials then open onboarding or Today","no","network","create session","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"AUTH_002","Sign In","Forgot password","text","PLANNED_REQUIRED","open Forgot Password","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"AUTH_002","Sign In","Create account","text","PLANNED_REQUIRED","open Create Account","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"AUTH_003","Create Account","Continue","current primary button","WIRED_BUT_WRONG_SEMANTICS","navigate to next registry route","no","none","navigation only","P0","replace with semantic primary action"
"AUTH_003","Create Account","Back","current text button","WIRED_BUT_WRONG_SEMANTICS","navigate to previous registry route","no","none","navigation only","P0","replace with parent/back-stack/cancel behavior"
"AUTH_003","Create Account","Create account","primary","PLANNED_REQUIRED","create account then Verify Email","no","network","create account","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"AUTH_003","Create Account","Sign in","text","PLANNED_REQUIRED","open Sign In","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"AUTH_003","Create Account","Terms","link","PLANNED_REQUIRED","open Terms","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"AUTH_003","Create Account","Privacy","link","PLANNED_REQUIRED","open Privacy","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
"AUTH_004","Verify Email","Continue","current primary button","WIRED_BUT_WRONG_SEMANTICS","navigate to next registry route","no","none","navigation only","P0","replace with semantic primary action"
"AUTH_004","Verify Email","Back","current text button","WIRED_BUT_WRONG_SEMANTICS","navigate to previous registry route","no","none","navigation only","P0","replace with parent/back-stack/cancel behavior"
"AUTH_004","Verify Email","I've verified","primary","PLANNED_REQUIRED","refresh verification then continue","no","none","none","P0","implement via typed UiAction/ViewModel; add disabled/loading/success/error states"
