"capability","screens/features","sensor_or_service","permission","permission_type","requirement","implementation_note"
"Global networking","Appwrite/API/AI/provider traffic","none","android.permission.INTERNET","normal manifest permission","REQUIRED","Manifest currently declares none. Add INTERNET. ACCESS_NETWORK_STATE recommended for connectivity UI."
"Camera","Food camera; barcode scanner; nutrition-label capture","camera","android.permission.CAMERA","runtime","REQUIRED_WHEN_USED","Request at point of use with pre-permission rationale."
"Gallery/photo selection","Food gallery; progress photos","system Photo Picker","none for picker","system picker grant","RECOMMENDED","Prefer Photo Picker rather than broad media permission. Persist selected URI grant only when long-running access is needed."
"Notifications","Workout/meal/report/sync reminders","notification system","android.permission.POST_NOTIFICATIONS","runtime on API 33+","OPTIONAL","Request only when user enables notifications."
"Health Connect steps/activity","Progress/readiness optional connected data","Health Connect","data-type-specific android.permission.health.READ_*","Health Connect consent","OPTIONAL","Request only selected data types; revocable at any time."
"Health Connect workout writes","If MoveFuel exports workouts to Health Connect","Health Connect","data-type-specific android.permission.health.WRITE_*","Health Connect consent","OPTIONAL","Only if product writes exercise sessions/metrics externally."
"Heart rate on Wear OS","Optional live HR in workout/readiness","Health Services / sensor","API 36+ granular android.permission.health permission e.g. READ_HEART_RATE","runtime/health permission","OPTIONAL","Current targetSdk is 37; do not rely on legacy BODY_SENSORS for API36+ behavior."
"Sleep","Optional readiness recovery input","Health Connect","android.permission.health.READ_SLEEP","Health Connect consent","OPTIONAL","Do not block workouts if denied."
"Raw Bluetooth scan/connect","Only if implementation bypasses Wear Data Layer and directly scans BLE","Bluetooth","BLUETOOTH_SCAN; BLUETOOTH_CONNECT","runtime on Android 12+","AVOID_IF_NOT_NEEDED","Prefer Wear OS Data Layer/companion APIs for normal watch sync."
"Phone activity sensor","Only if directly reading phone activity-recognition sensors rather than Health Connect","activity sensor","android.permission.ACTIVITY_RECOGNITION","runtime","OPTIONAL","Avoid duplicate data sources; prefer connected health source when appropriate."
"Location/GPS routes","Only if live running route tracking is later enabled","GPS","ACCESS_FINE_LOCATION plus applicable foreground-service requirements","runtime","OPTIONAL_LATER","Not required for basic workout logging/progress."
"Foreground workout service","Long-running sensor/location workout capture with screen off","foreground service","FOREGROUND_SERVICE plus applicable specific service-type permissions","normal/runtime mix","CONDITIONAL","Needed only for live background workout capture architecture."
