source_set,source_table,source_domain,owner_model,time_horizon,fact_evidence_class,algorithm_gate,authority_hint,reconciliation_status,final_disposition,canonical_target,notes
CORE_81,dbo.analysis_attempt,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.analysis_event,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.model_configuration,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.prompt_template,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.prompt_version,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.provider_call,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.entitlement,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.purchase_event,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.subscription,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.usage_ledger,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.webhook_event,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.device,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.device_command,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.device_session,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.health_connection,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.health_import_cursor,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.health_sample_summary,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.idempotency_key,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.sync_cursor,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.sync_operation,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.watch_delivery,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.watch_receipt,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.audit_event,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.calendar_entry,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.calendar_revision,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.content_report,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.data_retention_job,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.deletion_job,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.deletion_request,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.export_artifact,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.export_job,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.feature_flag,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.schema_migrations,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.serving_prior_observation,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.support_ticket,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.consent_record,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.onboarding_progress,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.privacy_preference,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.target_revision,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.user_goal,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.user_identity,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.user_preference,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.user_profile,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.user_session_metadata,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.notification,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.notification_delivery,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.action_completion,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.daily_aggregate,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.daily_recommendation,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.daily_summary,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.day_summary,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.food_catalog_alias,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.meal,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.meal_analysis_request,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.meal_draft,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.meal_draft_revision,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.meal_item,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.meal_item_revision,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.meal_media,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.meal_revision,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.meal_tombstone,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.nutrition_source_cache,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.personal_food,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.recommendation_evidence,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.saved_meal,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.saved_meal_item,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.wellness_checkin,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.progress_insight,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.report,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.report_evidence,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.report_section,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.exercise_catalog,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.exercise_muscle_map,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.muscle_load,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.workout_event,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.workout_plan,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.workout_plan_revision,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.workout_plan_step,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.workout_session,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.workout_session_revision,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
CORE_81,dbo.workout_summary,Core canonical baseline,,,,,A1/A3/A5_MIXED_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
DRAFT_29,dbo.recipe,Draft full-product additions,,,,,MIXED_DRAFT_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
DRAFT_29,dbo.recipe_revision,Draft full-product additions,,,,,MIXED_DRAFT_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
DRAFT_29,dbo.recipe_ingredient,Draft full-product additions,,,,,MIXED_DRAFT_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
DRAFT_29,dbo.recipe_step,Draft full-product additions,,,,,MIXED_DRAFT_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
DRAFT_29,dbo.recipe_source,Draft full-product additions,,,,,MIXED_DRAFT_REVIEW,PENDING_RECONCILIATION,,,Inventory only; final authority is not locked by source location.
