id,algorithm,domain,phase,old_status,new_status,import_decision,current_files,entry,tests
1,Age & Eligibility Policy Algorithm,Profile / targets,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/foundation/target-engine.ts; target-eligibility-policy.ts; apps/android/.../product/PersonalTargetEngine.kt,previewPersonalTargets / evaluateTargetEligibility / recalibrateEnergyFromWeightTrend,services/backend/src/tests/foundation/target-engine.test.ts; Android PersonalTargetEngineTest
2,Profile Completeness / Unknown Gate,Profile / targets,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/foundation/target-engine.ts; target-eligibility-policy.ts; apps/android/.../product/PersonalTargetEngine.kt,previewPersonalTargets / evaluateTargetEligibility / recalibrateEnergyFromWeightTrend,services/backend/src/tests/foundation/target-engine.test.ts; Android PersonalTargetEngineTest
3,Unit Normalization Algorithm,Profile / targets,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/foundation/target-engine.ts; target-eligibility-policy.ts; apps/android/.../product/PersonalTargetEngine.kt,previewPersonalTargets / evaluateTargetEligibility / recalibrateEnergyFromWeightTrend,services/backend/src/tests/foundation/target-engine.test.ts; Android PersonalTargetEngineTest
4,Activity Normalization Algorithm,Profile / targets,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/foundation/target-engine.ts; target-eligibility-policy.ts; apps/android/.../product/PersonalTargetEngine.kt,previewPersonalTargets / evaluateTargetEligibility / recalibrateEnergyFromWeightTrend,services/backend/src/tests/foundation/target-engine.test.ts; Android PersonalTargetEngineTest
5,Energy Target Estimator,Profile / targets,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/foundation/target-engine.ts; target-eligibility-policy.ts; apps/android/.../product/PersonalTargetEngine.kt,previewPersonalTargets / evaluateTargetEligibility / recalibrateEnergyFromWeightTrend,services/backend/src/tests/foundation/target-engine.test.ts; Android PersonalTargetEngineTest
6,Protein Target Estimator,Profile / targets,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/foundation/target-engine.ts; target-eligibility-policy.ts; apps/android/.../product/PersonalTargetEngine.kt,previewPersonalTargets / evaluateTargetEligibility / recalibrateEnergyFromWeightTrend,services/backend/src/tests/foundation/target-engine.test.ts; Android PersonalTargetEngineTest
7,Carbohydrate Target Allocator,Profile / targets,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/foundation/target-engine.ts; target-eligibility-policy.ts; apps/android/.../product/PersonalTargetEngine.kt,previewPersonalTargets / evaluateTargetEligibility / recalibrateEnergyFromWeightTrend,services/backend/src/tests/foundation/target-engine.test.ts; Android PersonalTargetEngineTest
8,Fat Target Allocator,Profile / targets,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/foundation/target-engine.ts; target-eligibility-policy.ts; apps/android/.../product/PersonalTargetEngine.kt,previewPersonalTargets / evaluateTargetEligibility / recalibrateEnergyFromWeightTrend,services/backend/src/tests/foundation/target-engine.test.ts; Android PersonalTargetEngineTest
9,Fiber Target Estimator,Profile / targets,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/foundation/target-engine.ts; target-eligibility-policy.ts; apps/android/.../product/PersonalTargetEngine.kt,previewPersonalTargets / evaluateTargetEligibility / recalibrateEnergyFromWeightTrend,services/backend/src/tests/foundation/target-engine.test.ts; Android PersonalTargetEngineTest
10,Different-Target-by-Day Scheduler,Profile / targets,P0,NOT_FOUND,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,MISSING_IMPLEMENT,No reliable source evidence,—,No direct test
11,Meal-Level Target Distribution Algorithm,Profile / targets,P0,NOT_FOUND,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,MISSING_IMPLEMENT,No reliable source evidence,—,No direct test
12,Target Recalibration Algorithm,Profile / targets,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/foundation/target-engine.ts; target-eligibility-policy.ts; apps/android/.../product/PersonalTargetEngine.kt,previewPersonalTargets / evaluateTargetEligibility / recalibrateEnergyFromWeightTrend,services/backend/src/tests/foundation/target-engine.test.ts; Android PersonalTargetEngineTest
13,Target Evidence Sufficiency / HOLD Algorithm,Profile / targets,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/foundation/target-engine.ts; target-eligibility-policy.ts; apps/android/.../product/PersonalTargetEngine.kt,previewPersonalTargets / evaluateTargetEligibility / recalibrateEnergyFromWeightTrend,services/backend/src/tests/foundation/target-engine.test.ts; Android PersonalTargetEngineTest
14,Target Revision Reason Generator,Profile / targets,P0,PARTIAL,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT_AND_CLOSE_GAP,services/backend/src/foundation/target-engine.ts; target-eligibility-policy.ts; apps/android/.../product/PersonalTargetEngine.kt,previewPersonalTargets / evaluateTargetEligibility / recalibrateEnergyFromWeightTrend,services/backend/src/tests/foundation/target-engine.test.ts; Android PersonalTargetEngineTest
15,Camera Input Router,PortionWise / food photo,P0,PARTIAL,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT_AND_CLOSE_GAP,services/backend/src/nutrition/algorithm/; vision/; identity/; portion/; nutrients/; confidence/; services/backend/src/http/meal-routes.ts,createMoveFuelAlgorithm → ImageEstimatePipeline → meal routes,services/backend/src/tests/nutrition/*; meal/* tests; research validation
16,Image Quality Scorer,PortionWise / food photo,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/nutrition/algorithm/; vision/; identity/; portion/; nutrients/; confidence/; services/backend/src/http/meal-routes.ts,createMoveFuelAlgorithm → ImageEstimatePipeline → meal routes,services/backend/src/tests/nutrition/*; meal/* tests; research validation
17,Food Region Detector,PortionWise / food photo,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/nutrition/algorithm/; vision/; identity/; portion/; nutrients/; confidence/; services/backend/src/http/meal-routes.ts,createMoveFuelAlgorithm → ImageEstimatePipeline → meal routes,services/backend/src/tests/nutrition/*; meal/* tests; research validation
18,Food Segmentation Algorithm,PortionWise / food photo,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/nutrition/algorithm/; vision/; identity/; portion/; nutrients/; confidence/; services/backend/src/http/meal-routes.ts,createMoveFuelAlgorithm → ImageEstimatePipeline → meal routes,services/backend/src/tests/nutrition/*; meal/* tests; research validation
19,Food Candidate Generator,PortionWise / food photo,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/nutrition/algorithm/; vision/; identity/; portion/; nutrients/; confidence/; services/backend/src/http/meal-routes.ts,createMoveFuelAlgorithm → ImageEstimatePipeline → meal routes,services/backend/src/tests/nutrition/*; meal/* tests; research validation
20,Preparation-State Inference Algorithm,PortionWise / food photo,P0,PARTIAL,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT_AND_CLOSE_GAP,services/backend/src/nutrition/algorithm/; vision/; identity/; portion/; nutrients/; confidence/; services/backend/src/http/meal-routes.ts,createMoveFuelAlgorithm → ImageEstimatePipeline → meal routes,services/backend/src/tests/nutrition/*; meal/* tests; research validation
