ID,DOMAIN,TYPE,RUNTIME_REPRESENTATION,ENTRY_PATH,REACHABLE,RENDERED,INTERACTION_CHECKED,RESULT,DEFECT,NOTES
"MASTER_TODAY","MASTER","ROUTER_ALIAS","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/master/TodayMasterDashboard.kt","YES","YES","YES","PASS","NONE","Runtime route rendered and representative interaction checked on Android emulator."
"MASTER_FUEL","MASTER","ROUTER_ALIAS","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/master/FuelMasterDashboard.kt","YES","YES","YES","PASS","NONE","Runtime route rendered and representative interaction checked on Android emulator."
"MASTER_TRAIN","MASTER","ROUTER_ALIAS","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/master/TrainMasterDashboard.kt","NO","STATIC","STATIC","NOT_RUNTIME_APPLICABLE","NONE","Bottom navigation resolves Train by persisted TrainState (TRS001/TRS002/TRS020/TRN001); direct master alias is not a reachable runtime destination."
"MASTER_PROGRESS","MASTER","ROUTER_ALIAS","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/master/ProgressMasterDashboard.kt","YES","YES","YES","PASS","NONE","Runtime route rendered and representative interaction checked on Android emulator."
"AUTH_001","AUTH","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/auth/AUTH_001_SecureRestore.kt","YES","YES","YES","PASS","NONE","Runtime route rendered and representative interaction checked on Android emulator."
"AUTH_002","AUTH","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/auth/AUTH_002_SignIn.kt","YES","YES","YES","PASS","NONE","Runtime route rendered and representative interaction checked on Android emulator."
"AUTH_003","AUTH","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/auth/AUTH_003_CreateAccount.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"AUTH_004","AUTH","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/auth/AUTH_004_VerifyEmail.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"AUTH_005","AUTH","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/auth/AUTH_005_ResendVerification.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
"AUTH_006","AUTH","ROUTE","COMPOSE_SCREEN","app/src/main/java/com/movefuel/mufil2/ui/screens/auth/AUTH_006_VerificationSuccess.kt","NO","STATIC","STATIC","STATIC_ONLY","NOT_RUNTIME_TESTED","Registry/source verified; runtime route not exercised in this QA pass."
